,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,Title,Domestic_Gross,Foreign_Gross,domestic_opening_gross,rating,foreign_market_count,distributor,director,actor_1,actor_2,Years_Since_Release,Is_Adaptation,Is_Sequel,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Action,Adventure,Comedy,G,PG,PG-13,Is_Animation,Is_Family,Is_Horror,Is_Sci-Fi,Is_Fantasy,Is_Romance,Rating,Metascore
152,152,661,661,366548,Happy Feet,198000317,186335791,41533432,PG,46,Warner Bros.,George Miller,Elijah Wood,Brittany Murphy,14,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,6.4,77.0
153,153,484,484,367594,Charlie and the Chocolate Factory,206459076,268509687,56178450,PG,44,Warner Bros.,Tim Burton,Johnny Depp,Freddie Highmore,15,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,6.6,72.0
154,154,419,419,367882,Indiana Jones and the Kingdom of the Crystal Skull,317101119,473552823,100137835,PG-13,67,Paramount Pictures,Steven Spielberg,Harrison Ford,Cate Blanchett,12,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.1,65.0
155,155,508,508,368447,The Village,114197520,142500000,50746142,PG-13,37,Walt Disney Studios Motion Pictures,M. Night Shyamalan,Sigourney Weaver,William Hurt,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,
156,156,625,625,368891,National Treasure,173008894,174503424,35142554,PG,52,Walt Disney Studios Motion Pictures,Jon Turteltaub,Nicolas Cage,Diane Kruger,16,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,6.8,39.0
157,157,535,535,369339,Collateral,101005703,119920992,24701458,R,61,DreamWorks Distribution,Michael Mann,Tom Cruise,Jamie Foxx,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,71.0
158,158,826,826,369436,Four Christmases,120146040,43966681,31069826,PG-13,56,Warner Bros.,Seth Gordon,Reese Witherspoon,Vince Vaughn,12,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,5.7,41.0
159,159,697,697,369441,Fun with Dick and Jane,110332737,94349162,14383515,PG-13,71,Sony Pictures Entertainment (SPE),Dean Parisot,Jim Carrey,Téa Leoni,15,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.1,47.0
160,160,391,391,369610,Jurassic World,652270625,1018130819,208806270,PG-13,66,Universal Pictures,Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,5,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,
161,161,688,688,369735,Monster-in-Law,82931301,72526026,24000000,PG-13,54,New Line Cinema,Robert Luketic,Jennifer Lopez,Michael Vartan,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,5.5,31.0
162,162,521,521,370263,Alien vs. Predator,80282231,97144859,38291056,PG-13,64,Twentieth Century Fox,Paul W.S. Anderson,Sanaa Lathan,Lance Henriksen,16,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,5.6,29.0
